,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration_old,draw_duration_new,trial_duration,mean_intensity,bounding_box,filename
0,cdm_run_v41536178424927,1,square,age4,1536179316627.0,2018-09-05T20:28:36.627Z,2,7.796,8.098,11.65,0.0192625,"(99, 298, 104, 284)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/square/age4_cdm_run_v41536178424927_square.png
1,cdm_run_v41536178424927,2,shape,age4,1536179352048.0,2018-09-05T20:29:12.048Z,3,6.915,15.726,30.47,0.02881875,"(19, 372, 56, 260)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/shape/age4_cdm_run_v41536178424927_shape.png
2,cdm_run_v41536249599638,2,shape,age2,1536254742046.0,2018-09-06T17:25:42.046Z,22,5.577,5.678,9.775,0.01903125,"(67, 383, 197, 351)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/shape/age2_cdm_run_v41536249599638_shape.png
3,cdm_run_v41536254851282,1,square,age2,1536255040116.0,2018-09-06T17:30:40.116Z,1,0.0,19.736,26.606,0.032275,"(131, 276, 125, 279)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/square/age2_cdm_run_v41536254851282_square.png
4,cdm_run_v41536255042960,1,square,age2,1536255085338.0,2018-09-06T17:31:25.338Z,1,0.0,3.062,6.719,0.00766875,"(149, 242, 147, 236)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/square/age2_cdm_run_v41536255042960_square.png
5,cdm_run_v41536255458365,1,square,age3,1536256457759.0,2018-09-06T17:54:17.759Z,4,2.837,5.04,12.924,0.0213,"(93, 284, 112, 290)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/square/age3_cdm_run_v41536255458365_square.png
6,cdm_run_v41536255458365,2,shape,age3,1536256483557.0,2018-09-06T17:54:43.557Z,3,11.279,13.005,20.889,0.0321375,"(8, 367, 69, 276)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/shape/age3_cdm_run_v41536255458365_shape.png
7,cdm_run_v41536256584193,2,shape,age2,1536257297976.0,2018-09-06T18:08:17.976Z,2,0.668,1.724,5.548,0.04160625,"(80, 386, 136, 372)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/shape/age2_cdm_run_v41536256584193_shape.png
8,cdm_run_v41536260618874,1,square,age2,1536261003123.0,2018-09-06T19:10:03.123Z,4,12.391,12.517,15.232,0.01735,"(104, 295, 93, 295)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/square/age2_cdm_run_v41536260618874_square.png
9,cdm_run_v41536260618874,2,shape,age2,1536261025655.0,2018-09-06T19:10:25.655Z,3,19.623,21.263,17.594,0.025025,"(35, 367, 80, 255)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/shape/age2_cdm_run_v41536260618874_shape.png
10,cdm_run_v41536261036082,2,shape,age2,1536261097507.0,2018-09-06T19:11:37.507Z,3,6.573,7.131,6.904,0.00765625,"(176, 295, 64, 191)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/shape/age2_cdm_run_v41536261036082_shape.png
11,cdm_run_v41536263126224,1,square,age2,1536265201393.0,2018-09-06T20:20:01.393Z,9,9.844,10.264,16.576,0.054075,"(80, 388, 99, 308)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/square/age2_cdm_run_v41536263126224_square.png
12,cdm_run_v41536263126224,2,shape,age2,1536265220525.0,2018-09-06T20:20:20.525Z,7,6.527,7.172,14.216,0.05105,"(35, 399, 35, 282)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/shape/age2_cdm_run_v41536263126224_shape.png
13,cdm_run_v41536265227405,1,square,age2,1536265273197.0,2018-09-06T20:21:13.197Z,13,12.27,12.562,15.974,0.091,"(29, 399, 61, 316)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v4/square/age2_cdm_run_v41536265227405_square.png
