,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration_old,draw_duration_new,trial_duration,mean_intensity,bounding_box,filename
0,cdm_run_v31525887455403,0,square,age2,1525887473780.0,2018-05-09T17:37:53.780Z,1,0.0,0.0,NaN,0.02015,"(104, 290, 112, 284)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age2_cdm_run_v31525887455403_square.png
1,cdm_run_v31525887854758,0,square,age6,1525888044823.0,2018-05-09T17:47:24.822Z,1,0.0,0.0,NaN,0.0216,"(101, 295, 75, 282)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age6_cdm_run_v31525887854758_square.png
2,cdm_run_v31525887854758,1,shape,age6,1525888061964.0,2018-05-09T17:47:41.964Z,1,0.0,0.0,NaN,0.03450625,"(0, 367, 64, 266)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age6_cdm_run_v31525887854758_shape.png
3,cdm_run_v31525887854758,2,this circle,age6,1525888070941.0,2018-05-09T17:47:50.941Z,1,0.0,0.0,NaN,0.01846875,"(83, 306, 104, 279)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/this circle/age6_cdm_run_v31525887854758_this circle.png
4,cdm_run_v31525888228961,0,square,age4,1525889076928.0,2018-05-09T18:04:36.928Z,2,1.155,1.155,NaN,0.00075625,"(187, 207, 165, 196)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age4_cdm_run_v31525888228961_square.png
5,cdm_run_v31525888228961,1,shape,age4,1525889085950.0,2018-05-09T18:04:45.950Z,2,0.742,0.742,NaN,0.0,,/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age4_cdm_run_v31525888228961_shape.png
6,cdm_run_v31525889090419,1,shape,age4,1525889152070.0,2018-05-09T18:05:52.070Z,4,2.095,2.095,NaN,0.01085625,"(53, 356, 192, 244)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age4_cdm_run_v31525889090419_shape.png
7,cdm_run_v31525889224904,0,square,age2,1525889239032.0,2018-05-09T18:07:19.032Z,1,0.0,0.0,NaN,0.02024375,"(101, 284, 112, 303)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age2_cdm_run_v31525889224904_square.png
8,cdm_run_v31525889224904,1,shape,age2,1525889258074.0,2018-05-09T18:07:38.074Z,14,4.868,4.868,NaN,0.03226875,"(8, 386, 131, 266)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age2_cdm_run_v31525889224904_shape.png
9,cdm_run_v31525890491721,0,square,age6,1525890526438.0,2018-05-09T18:28:46.438Z,3,0.937,0.937,NaN,0.01,"(112, 332, 112, 252)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age6_cdm_run_v31525890491721_square.png
10,cdm_run_v31525891444648,1,shape,age6,1525891507226.0,2018-05-09T18:45:07.226Z,1,0.0,0.0,NaN,0.0,,/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age6_cdm_run_v31525891444648_shape.png
11,cdm_run_v31525891752621,0,square,age6,1525891833008.0,2018-05-09T18:50:33.008Z,1,0.0,0.0,NaN,0.01981875,"(104, 287, 93, 290)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age6_cdm_run_v31525891752621_square.png
12,cdm_run_v31525891955621,1,shape,age6,1525892090635.0,2018-05-09T18:54:50.635Z,1,0.0,0.0,NaN,0.03374375,"(29, 372, 75, 271)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age6_cdm_run_v31525891955621_shape.png
13,cdm_run_v31525891955621,2,this circle,age6,1525892104150.0,2018-05-09T18:55:04.150Z,1,0.0,0.0,NaN,0.02395625,"(72, 354, 77, 322)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/this circle/age6_cdm_run_v31525891955621_this circle.png
14,cdm_run_v31525892637212,0,square,age2,1525892808652.0,2018-05-09T19:06:48.652Z,33,12.387,12.387,NaN,0.08404375,"(123, 343, 0, 335)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age2_cdm_run_v31525892637212_square.png
15,cdm_run_v31525892637212,2,this circle,age2,1525892822992.0,2018-05-09T19:07:02.992Z,3,8.293,8.293,NaN,0.0,,/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/this circle/age2_cdm_run_v31525892637212_this circle.png
16,cdm_run_v31525892849063,0,square,age2,1525892936980.0,2018-05-09T19:08:56.979Z,3,8.643,8.643,NaN,0.06439375,"(192, 284, 77, 311)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age2_cdm_run_v31525892849063_square.png
17,cdm_run_v31525893072119,1,shape,age6,1525893130554.0,2018-05-09T19:12:10.554Z,10,5.348,5.348,NaN,0.0308875,"(8, 359, 72, 284)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age6_cdm_run_v31525893072119_shape.png
18,cdm_run_v31525893072119,2,this circle,age6,1525893142895.0,2018-05-09T19:12:22.895Z,2,1.509,1.509,NaN,0.0039875,"(75, 100, 147, 290)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/this circle/age6_cdm_run_v31525893072119_this circle.png
19,cdm_run_v31525893144594,0,square,age6,1525893172213.0,2018-05-09T19:12:52.213Z,1,0.0,0.0,NaN,0.02046875,"(107, 282, 112, 292)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age6_cdm_run_v31525893144594_square.png
20,cdm_run_v31525893174061,0,square,age2,1525893202577.0,2018-05-09T19:13:22.577Z,1,0.0,0.0,NaN,0.021875,"(109, 290, 109, 292)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age2_cdm_run_v31525893174061_square.png
21,cdm_run_v31525893174061,1,shape,age2,1525893219440.0,2018-05-09T19:13:39.440Z,1,0.0,0.0,NaN,0.03135,"(19, 362, 67, 274)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age2_cdm_run_v31525893174061_shape.png
22,cdm_run_v31525893174061,2,this circle,age2,1525893232996.0,2018-05-09T19:13:52.996Z,1,0.0,0.0,NaN,0.02725625,"(59, 324, 13, 332)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/this circle/age2_cdm_run_v31525893174061_this circle.png
23,cdm_run_v31525893423612,0,square,age6,1525893590056.0,2018-05-09T19:19:50.055Z,3,5.395,5.395,NaN,0.03219375,"(77, 370, 40, 348)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age6_cdm_run_v31525893423612_square.png
24,cdm_run_v31525893423612,1,shape,age6,1525893611250.0,2018-05-09T19:20:11.250Z,9,1.531,1.531,NaN,0.0383125,"(8, 386, 45, 274)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age6_cdm_run_v31525893423612_shape.png
25,cdm_run_v31525893423612,2,this circle,age6,1525893621985.0,2018-05-09T19:20:21.985Z,1,0.0,0.0,NaN,0.02915,"(35, 346, 35, 362)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/this circle/age6_cdm_run_v31525893423612_this circle.png
26,cdm_run_v31525893700992,0,square,age10,1525893721827.0,2018-05-09T19:22:01.827Z,1,0.0,0.0,NaN,0.02810625,"(75, 324, 56, 324)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age10_cdm_run_v31525893700992_square.png
27,cdm_run_v31525893700992,1,shape,age10,1525893737788.0,2018-05-09T19:22:17.787Z,2,9.002,9.002,NaN,0.04523125,"(0, 396, 37, 324)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age10_cdm_run_v31525893700992_shape.png
28,cdm_run_v31525893768237,0,square,age3,1525893871575.0,2018-05-09T19:24:31.575Z,21,4.381,4.381,NaN,0.05558125,"(56, 399, 40, 322)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/square/age3_cdm_run_v31525893768237_square.png
29,cdm_run_v31525893768237,1,shape,age3,1525893885152.0,2018-05-09T19:24:45.152Z,4,0.319,0.319,NaN,0.0337,"(0, 399, 0, 370)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/shape/age3_cdm_run_v31525893768237_shape.png
30,cdm_run_v31525893768237,2,this circle,age3,1525893899008.0,2018-05-09T19:24:59.008Z,4,0.073,0.073,NaN,0.0302125,"(37, 359, 16, 322)",/Users/zixianchai/Desktop/kk/kiddraw/analysis/museumstation/preprocessing/sketches_cdm_run_v3/this circle/age3_cdm_run_v31525893768237_this circle.png
