,session_id,trial_num,category,age,submit_time,submit_date,num_strokes,draw_duration_old,draw_duration_new,trial_duration,mean_intensity,bounding_box,filename
0,cdm_run_v41536178424927,3,this square,age4,1536179373968.0,2018-09-05T20:29:33.968Z,4,5.483,6.882,13.599,0.024175,"(40, 279, 83, 303)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age4_cdm_run_v41536178424927_this square.png
1,cdm_run_v41536255458365,3,this square,age3,1536256504352.0,2018-09-06T17:55:04.352Z,4,4.585,5.481,14.389,0.00805625,"(64, 143, 141, 242)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age3_cdm_run_v41536255458365_this square.png
2,cdm_run_v41536256584193,3,this square,age2,1536257311999.0,2018-09-06T18:08:31.999Z,1,0.0,3.67,7.61,0.09276875,"(0, 370, 83, 399)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536256584193_this square.png
3,cdm_run_v41536261036082,3,this square,age2,1536261107746.0,2018-09-06T19:11:47.746Z,1,0.0,4.892,3.87,0.0,,/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536261036082_this square.png
4,cdm_run_v41536265227405,3,this square,age2,1536265311377.0,2018-09-06T20:21:51.377Z,10,7.912,8.386,17.928,0.06305625,"(51, 399, 88, 396)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536265227405_this square.png
5,cdm_run_v41536265687579,3,this square,age2,1536265749048.0,2018-09-06T20:29:09.048Z,3,0.11,0.139,5.626,0.0149125,"(163, 367, 168, 348)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536265687579_this square.png
6,cdm_run_v41536266012086,3,this square,age2,1536266080711.0,2018-09-06T20:34:40.711Z,7,22.021,22.172,16.788,0.07068125,"(35, 391, 29, 388)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536266012086_this square.png
7,cdm_run_v41536343158829,3,this square,age3,1536343425036.0,2018-09-07T18:03:45.036Z,2,16.922,17.62,12.0,0.04095625,"(0, 399, 53, 399)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age3_cdm_run_v41536343158829_this square.png
8,cdm_run_v41536343509938,3,this square,age3,1536345431164.0,2018-09-07T18:37:11.164Z,4,19.993,20.572,18.865,0.02248125,"(115, 399, 3, 316)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age3_cdm_run_v41536343509938_this square.png
9,cdm_run_v41536345766792,3,this square,age2,1536346613845.0,2018-09-07T18:56:53.845Z,3,1.109,3.167,5.785,0.05994375,"(56, 364, 0, 367)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536345766792_this square.png
10,cdm_run_v41536346618057,3,this square,age2,1536346679698.0,2018-09-07T18:57:59.698Z,3,0.713,3.52,6.048,0.05696875,"(13, 383, 24, 396)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536346618057_this square.png
11,cdm_run_v41536355093788,3,this square,age9,1536355501501.0,2018-09-07T21:25:01.501Z,1,0.0,4.794,7.706,0.014575,"(112, 287, 125, 279)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age9_cdm_run_v41536355093788_this square.png
12,cdm_run_v41536428898104,3,this square,age4,1536429447422.0,2018-09-08T17:57:27.422Z,1,0.0,3.318,7.027,0.0214625,"(80, 292, 133, 340)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age4_cdm_run_v41536428898104_this square.png
13,cdm_run_v41536431562628,3,this square,age2,1536431619492.0,2018-09-08T18:33:39.492Z,1,0.0,0.411,1.529,0.0,,/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536431562628_this square.png
14,cdm_run_v41536436515000,3,this square,age4,1536436575436.0,2018-09-08T19:56:15.436Z,1,0.0,2.483,4.921,0.01719375,"(112, 290, 112, 287)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age4_cdm_run_v41536436515000_this square.png
15,cdm_run_v41536437362046,3,this square,age4,1536437632096.0,2018-09-08T20:13:52.095Z,10,23.395,23.554,30.458,0.2780625,"(0, 399, 8, 399)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age4_cdm_run_v41536437362046_this square.png
16,cdm_run_v41536437655795,3,this square,age5,1536437775770.0,2018-09-08T20:16:15.770Z,1,0.0,13.979,19.87,0.02080625,"(0, 399, 0, 399)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age5_cdm_run_v41536437655795_this square.png
17,cdm_run_v41536438537512,3,this square,age9,1536439388070.0,2018-09-08T20:43:08.070Z,1,0.0,6.596,9.495,0.02498125,"(104, 290, 109, 300)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age9_cdm_run_v41536438537512_this square.png
18,cdm_run_v41536441254680,3,this square,age6,1536441371921.0,2018-09-08T21:16:11.921Z,1,0.0,8.012,13.318,0.01645,"(149, 316, 107, 276)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age6_cdm_run_v41536441254680_this square.png
19,cdm_run_v41536441455574,3,this square,age6,1536441529189.0,2018-09-08T21:18:49.189Z,2,7.578,11.895,8.393,0.00180625,"(117, 178, 272, 287)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age6_cdm_run_v41536441455574_this square.png
20,cdm_run_v41536442442740,3,this square,age2,1536442780547.0,2018-09-08T21:39:40.547Z,1,0.0,9.046,11.919,0.02330625,"(43, 332, 181, 370)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536442442740_this square.png
21,cdm_run_v41536443703394,3,this square,age4,1536443782111.0,2018-09-08T21:56:22.111Z,1,0.0,3.779,13.729,0.0275875,"(3, 324, 83, 348)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age4_cdm_run_v41536443703394_this square.png
22,cdm_run_v41536445215285,3,this square,age4,1536445311299.0,2018-09-08T22:21:51.299Z,4,6.051,7.067,13.87,0.03295625,"(13, 364, 80, 351)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age4_cdm_run_v41536445215285_this square.png
23,cdm_run_v41536445735698,3,this square,age2,1536445950982.0,2018-09-08T22:32:30.982Z,7,16.437,16.89,21.966,0.10035625,"(24, 354, 0, 399)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536445735698_this square.png
24,cdm_run_v41536446273758,3,this square,age10,1536446842664.0,2018-09-08T22:47:22.664Z,1,0.0,2.083,4.48,0.0189125,"(112, 292, 120, 311)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age10_cdm_run_v41536446273758_this square.png
25,cdm_run_v41536447334042,3,this square,age5,1536447545611.0,2018-09-08T22:59:05.611Z,1,0.0,5.574,9.002,0.019025,"(117, 292, 101, 284)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age5_cdm_run_v41536447334042_this square.png
26,cdm_run_v41536448157876,3,this square,age2,1536448253220.0,2018-09-08T23:10:53.219Z,2,0.405,6.236,10.874,0.05658125,"(179, 399, 0, 335)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536448157876_this square.png
27,cdm_run_v41536448304446,3,this square,age6,1536448940426.0,2018-09-08T23:22:20.426Z,1,0.0,9.852,15.666,0.023875,"(80, 319, 83, 311)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age6_cdm_run_v41536448304446_this square.png
28,cdm_run_v41536449216576,3,this square,age2,1536449509961.0,2018-09-08T23:31:49.961Z,2,1.251,1.81,7.603,0.01453125,"(107, 316, 115, 380)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536449216576_this square.png
29,cdm_run_v41536449673880,3,this square,age2,1536449769535.0,2018-09-08T23:36:09.535Z,3,14.4,14.875,30.127,0.0217,"(128, 399, 93, 359)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536449673880_this square.png
30,cdm_run_v41536449916714,3,this square,age6,1536450005823.0,2018-09-08T23:40:05.822Z,1,0.0,3.207,7.295,0.016975,"(115, 279, 107, 268)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age6_cdm_run_v41536449916714_this square.png
31,cdm_run_v41536450268022,3,this square,age2,1536450427845.0,2018-09-08T23:47:07.845Z,2,11.181,12.094,5.901,0.0179375,"(123, 300, 109, 298)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age2_cdm_run_v41536450268022_this square.png
32,cdm_run_v41536508799962,3,this square,age7,1536518754137.0,2018-09-09T18:45:54.137Z,2,1.768,2.634,8.324,0.0108375,"(104, 316, 112, 290)",/Users/zixianchai/Desktop/compositionality/shapedraw/analysis/tracing/tracing_cdm_run_v4/this square/age7_cdm_run_v41536508799962_this square.png
