,session_id,age,tracing_item,rater1
0,e11532111112405,7,this square,3
1,e11532111112405,7,this shape,2
2,e11532111112405,7,this circle,2
3,e11532113637303,4,this shape,2
4,e11532113637303,4,this circle,1
5,e11532114278628,5,this square,1
6,e11532114278628,5,this shape,0
7,e11532114278628,5,this circle,1
8,e11532119809715,7,this square,2
9,e11532119809715,7,this shape,2
10,e11532119809715,7,this circle,1
11,e11532122541242,5,this square,1
12,e11532122541242,5,this shape,1
13,e11532122541242,5,this circle,1
14,e11532460938594,6,this square,3
15,e11532460938594,6,this shape,3
16,e11532460938594,6,this circle,2
17,e11532462743178,6,this square,3
18,e11532462743178,6,this shape,2
19,e11532462743178,6,this circle,2
20,e11532463640792,6,this square,3
21,e11532463640792,6,this shape,2
22,e11532463640792,6,this circle,1
23,e11532466284265,5,this square,3
24,e11532466284265,5,this shape,2
25,e11532466284265,5,this circle,1
26,e11532468221484,7,this square,3
27,e11532468221484,7,this shape,2
28,e11532468221484,7,this circle,2
29,e11532471274122,4,this square,3
30,e11532471274122,4,this shape,2
31,e11532471274122,4,this circle,1
32,e11532472926384,4,this square,3
33,e11532472926384,4,this shape,1
34,e11532472926384,4,this circle,1
35,e11532541142092,5,this square,2
36,e11532541142092,5,this shape,3
37,e11532541142092,5,this circle,1
38,e11532542255729,6,this square,3
39,e11532542255729,6,this shape,3
40,e11532542255729,6,this circle,3
41,e11532543756370,6,this square,3
42,e11532543756370,6,this shape,1
43,e11532543756370,6,this circle,2
44,e11532544321666,4,this square,2
45,e11532544321666,4,this shape,2
46,e11532544321666,4,this circle,1
47,e11532545713435,6,this square,4
48,e11532545713435,6,this shape,3
49,e11532545713435,6,this circle,2
50,e11532546711242,7,this square,3
51,e11532546711242,7,this shape,3
52,e11532546711242,7,this circle,1
53,e11532547010484,6,this square,3
54,e11532547010484,6,this shape,3
55,e11532547010484,6,this circle,1
56,e11532547528521,4,this square,1
57,e11532547528521,4,this circle,1
58,e11532552096322,4,this square,0
59,e11532552096322,4,this shape,0
60,e11532552096322,4,this circle,1
61,e11532552431212,6,this square,1
62,e11532552431212,6,this shape,1
63,e11532552431212,6,this circle,1
64,e11532553232054,6,this square,2
65,e11532553232054,6,this shape,3
66,e11532553232054,6,this circle,2
67,e11532554214992,6,this square,2
68,e11532554214992,6,this shape,2
69,e11532554214992,6,this circle,2
70,e11532554599143,4,this circle,2
71,e11532555203616,4,this square,1
72,e11532555203616,4,this circle,1
73,e11532555995167,5,this square,3
74,e11532555995167,5,this shape,3
75,e11532555995167,5,this circle,1
76,e11532556623648,5,this shape,0
77,e11532557358704,7,this square,3
78,e11532557358704,7,this shape,3
79,e11532557358704,7,this circle,2
80,e11532557578120,7,this square,3
81,e11532557578120,7,this shape,3
82,e11532557578120,7,this circle,2
83,e11532558017061,6,this square,3
84,e11532558017061,6,this shape,2
85,e11532558017061,6,this circle,1
86,e11532559138714,5,this square,2
87,e11532559138714,5,this shape,1
88,e11532559138714,5,this circle,2
89,e11533072218503,5,this square,2
90,e11533072218503,5,this shape,1
91,e11533072218503,5,this circle,1
92,e11533073144281,5,this square,3
93,e11533073144281,5,this shape,2
94,e11533073144281,5,this circle,2
95,e11533077186611,5,this square,1
96,e11533077186611,5,this shape,1
97,e11533077186611,5,this circle,2
98,e11533077471951,5,this square,1
99,e11533077471951,5,this shape,1
100,e11533077471951,5,this circle,1
101,e11533079562976,5,this shape,1
102,e11533079562976,5,this circle,2
103,e11533079944053,6,this square,0
104,e11533080485289,4,this square,0
105,e11533080485289,4,this circle,1
106,e11533145279933,5,this square,2
107,e11533145279933,5,this shape,1
108,e11533145279933,5,this circle,2
109,e11533145985106,4,this square,2
110,e11533145985106,4,this shape,0
111,e11533146317748,7,this square,3
112,e11533146317748,7,this shape,3
113,e11533146317748,7,this circle,3
114,e11533147693749,5,this square,2
115,e11533147693749,5,this shape,3
116,e11533147693749,5,this circle,3
117,e11533147991237,6,this square,3
118,e11533147991237,6,this shape,3
119,e11533147991237,6,this circle,3
120,e11533148420272,7,this square,3
121,e11533148420272,7,this shape,2
122,e11533148420272,7,this circle,2
123,e11533148939408,5,this square,2
124,e11533148939408,5,this circle,0
125,e11533153765735,5,this square,3
126,e11533153765735,5,this shape,2
127,e11533153765735,5,this circle,1
128,e11533154273996,5,this square,2
129,e11533154273996,5,this shape,2
130,e11533154273996,5,this circle,2
131,e11533156255593,6,this square,2
132,e11533156255593,6,this shape,2
133,e11533156255593,6,this circle,1
134,e11533156546289,7,this square,2
135,e11533156546289,7,this shape,2
136,e11533156546289,7,this circle,2
137,e11533157120454,5,this square,2
138,e11533157120454,5,this shape,1
139,e11533157120454,5,this circle,1
140,e11533157666476,5,this square,3
141,e11533157666476,5,this shape,3
142,e11533157666476,5,this circle,2
143,e11533158163200,5,this square,3
144,e11533158163200,5,this shape,2
145,e11533158163200,5,this circle,1
146,e11533158505451,4,this shape,0
147,e11533159385631,6,this square,2
148,e11533159385631,6,this shape,2
149,e11533159385631,6,this circle,1
150,e11533159607984,5,this square,2
151,e11533159607984,5,this shape,2
152,e11533159607984,5,this circle,2
153,e11533160231802,5,this square,2
154,e11533160231802,5,this shape,1
155,e11533160231802,5,this circle,1
156,e11533161870392,5,this square,2
157,e11533161870392,5,this shape,2
158,e11533161870392,5,this circle,2
159,e11533162144527,5,this square,3
160,e11533162144527,5,this circle,2
161,e11533164692587,4,this square,0
